indicatorId,geoUnit,year,value,qualifier,magnitude
ODAFLOW.VOLUMESCHOLARSHIP,LCA,2022,301331,,
ODAFLOW.VOLUMESCHOLARSHIP,LCA,2023,100162,,
ODAFLOW.VOLUMESCHOLARSHIP,LKA,2006,3402684,,
ODAFLOW.VOLUMESCHOLARSHIP,LKA,2007,2447910,,
ODAFLOW.VOLUMESCHOLARSHIP,LKA,2008,3218376,,
ODAFLOW.VOLUMESCHOLARSHIP,LKA,2009,6318164,,
ODAFLOW.VOLUMESCHOLARSHIP,LKA,2010,7837070,,
ODAFLOW.VOLUMESCHOLARSHIP,LKA,2011,10016271,,
ODAFLOW.VOLUMESCHOLARSHIP,LKA,2012,10312700,,
ODAFLOW.VOLUMESCHOLARSHIP,LKA,2013,11106550,,
ODAFLOW.VOLUMESCHOLARSHIP,LKA,2014,10409351,,
ODAFLOW.VOLUMESCHOLARSHIP,LKA,2015,10030120,,
ODAFLOW.VOLUMESCHOLARSHIP,LKA,2016,7253040,,
ODAFLOW.VOLUMESCHOLARSHIP,LKA,2017,6562600,,
ODAFLOW.VOLUMESCHOLARSHIP,LKA,2018,7493122,,
ODAFLOW.VOLUMESCHOLARSHIP,LKA,2019,9330738,,
ODAFLOW.VOLUMESCHOLARSHIP,LKA,2020,10058882,,
ODAFLOW.VOLUMESCHOLARSHIP,LKA,2021,6120820,,
ODAFLOW.VOLUMESCHOLARSHIP,LKA,2022,10026796,,
ODAFLOW.VOLUMESCHOLARSHIP,LKA,2023,12573232,,
ODAFLOW.VOLUMESCHOLARSHIP,LSO,2007,178237,,
ODAFLOW.VOLUMESCHOLARSHIP,LSO,2008,524042,,
ODAFLOW.VOLUMESCHOLARSHIP,LSO,2009,670810,,
ODAFLOW.VOLUMESCHOLARSHIP,LSO,2010,522738,,
ODAFLOW.VOLUMESCHOLARSHIP,LSO,2011,1016410,,
ODAFLOW.VOLUMESCHOLARSHIP,LSO,2012,662605,,
ODAFLOW.VOLUMESCHOLARSHIP,LSO,2013,986352,,
ODAFLOW.VOLUMESCHOLARSHIP,LSO,2014,634895,,
ODAFLOW.VOLUMESCHOLARSHIP,LSO,2015,963590,,
ODAFLOW.VOLUMESCHOLARSHIP,LSO,2016,436039,,
ODAFLOW.VOLUMESCHOLARSHIP,LSO,2017,970317,,
ODAFLOW.VOLUMESCHOLARSHIP,LSO,2018,383789,,
ODAFLOW.VOLUMESCHOLARSHIP,LSO,2019,619387,,
ODAFLOW.VOLUMESCHOLARSHIP,LSO,2020,369353,,
ODAFLOW.VOLUMESCHOLARSHIP,LSO,2021,369764,,
ODAFLOW.VOLUMESCHOLARSHIP,LSO,2022,360062,,
ODAFLOW.VOLUMESCHOLARSHIP,LSO,2023,224674,,
ODAFLOW.VOLUMESCHOLARSHIP,MAR,2006,3337386,,
ODAFLOW.VOLUMESCHOLARSHIP,MAR,2007,3933305,,
ODAFLOW.VOLUMESCHOLARSHIP,MAR,2008,7176010,,
ODAFLOW.VOLUMESCHOLARSHIP,MAR,2009,11420524,,
ODAFLOW.VOLUMESCHOLARSHIP,MAR,2010,6220055,,
ODAFLOW.VOLUMESCHOLARSHIP,MAR,2011,2431829,,
ODAFLOW.VOLUMESCHOLARSHIP,MAR,2012,7065147,,
ODAFLOW.VOLUMESCHOLARSHIP,MAR,2013,21834152,,
ODAFLOW.VOLUMESCHOLARSHIP,MAR,2014,21934548,,
ODAFLOW.VOLUMESCHOLARSHIP,MAR,2015,23632296,,
ODAFLOW.VOLUMESCHOLARSHIP,MAR,2016,22167478,,
ODAFLOW.VOLUMESCHOLARSHIP,MAR,2017,26852878,,
ODAFLOW.VOLUMESCHOLARSHIP,MAR,2018,25833628,,
ODAFLOW.VOLUMESCHOLARSHIP,MAR,2019,28273176,,
ODAFLOW.VOLUMESCHOLARSHIP,MAR,2020,28760114,,
ODAFLOW.VOLUMESCHOLARSHIP,MAR,2021,27855056,,
ODAFLOW.VOLUMESCHOLARSHIP,MAR,2022,31674792,,
ODAFLOW.VOLUMESCHOLARSHIP,MAR,2023,31248628,,
ODAFLOW.VOLUMESCHOLARSHIP,MDA,2006,412094,,
ODAFLOW.VOLUMESCHOLARSHIP,MDA,2007,325128,,
ODAFLOW.VOLUMESCHOLARSHIP,MDA,2008,1242546,,
ODAFLOW.VOLUMESCHOLARSHIP,MDA,2009,1433945,,
ODAFLOW.VOLUMESCHOLARSHIP,MDA,2010,1293518,,
ODAFLOW.VOLUMESCHOLARSHIP,MDA,2011,2177380,,
ODAFLOW.VOLUMESCHOLARSHIP,MDA,2012,1930643,,
ODAFLOW.VOLUMESCHOLARSHIP,MDA,2013,3276777,,
ODAFLOW.VOLUMESCHOLARSHIP,MDA,2014,25324030,,
ODAFLOW.VOLUMESCHOLARSHIP,MDA,2015,28851808,,
ODAFLOW.VOLUMESCHOLARSHIP,MDA,2016,29351224,,
ODAFLOW.VOLUMESCHOLARSHIP,MDA,2017,36348152,,
ODAFLOW.VOLUMESCHOLARSHIP,MDA,2018,45716064,,
ODAFLOW.VOLUMESCHOLARSHIP,MDA,2019,57236180,,
ODAFLOW.VOLUMESCHOLARSHIP,MDA,2020,65585088,,
ODAFLOW.VOLUMESCHOLARSHIP,MDA,2021,62541824,,
ODAFLOW.VOLUMESCHOLARSHIP,MDA,2022,53831344,,
ODAFLOW.VOLUMESCHOLARSHIP,MDA,2023,53131232,,
ODAFLOW.VOLUMESCHOLARSHIP,MDG,2006,664147,,
ODAFLOW.VOLUMESCHOLARSHIP,MDG,2007,562846,,
ODAFLOW.VOLUMESCHOLARSHIP,MDG,2008,1270690,,
ODAFLOW.VOLUMESCHOLARSHIP,MDG,2009,1719014,,
ODAFLOW.VOLUMESCHOLARSHIP,MDG,2010,1253565,,
ODAFLOW.VOLUMESCHOLARSHIP,MDG,2011,990720,,
ODAFLOW.VOLUMESCHOLARSHIP,MDG,2012,1580599,,
ODAFLOW.VOLUMESCHOLARSHIP,MDG,2013,3498121,,
ODAFLOW.VOLUMESCHOLARSHIP,MDG,2014,2907712,,
ODAFLOW.VOLUMESCHOLARSHIP,MDG,2015,3285575,,
ODAFLOW.VOLUMESCHOLARSHIP,MDG,2016,2888179,,
ODAFLOW.VOLUMESCHOLARSHIP,MDG,2017,4056290,,
ODAFLOW.VOLUMESCHOLARSHIP,MDG,2018,4313133,,
ODAFLOW.VOLUMESCHOLARSHIP,MDG,2019,4973779,,
ODAFLOW.VOLUMESCHOLARSHIP,MDG,2020,3862457,,
ODAFLOW.VOLUMESCHOLARSHIP,MDG,2021,3251881,,
ODAFLOW.VOLUMESCHOLARSHIP,MDG,2022,3456546,,
ODAFLOW.VOLUMESCHOLARSHIP,MDG,2023,4832993,,
ODAFLOW.VOLUMESCHOLARSHIP,MDV,2006,1640019,,
ODAFLOW.VOLUMESCHOLARSHIP,MDV,2007,1483100,,
ODAFLOW.VOLUMESCHOLARSHIP,MDV,2008,2286871,,
ODAFLOW.VOLUMESCHOLARSHIP,MDV,2009,2881296,,
ODAFLOW.VOLUMESCHOLARSHIP,MDV,2010,3062791,,
ODAFLOW.VOLUMESCHOLARSHIP,MDV,2011,2958756,,
ODAFLOW.VOLUMESCHOLARSHIP,MDV,2012,4585872,,
ODAFLOW.VOLUMESCHOLARSHIP,MDV,2013,5035276,,
ODAFLOW.VOLUMESCHOLARSHIP,MDV,2014,3827772,,
ODAFLOW.VOLUMESCHOLARSHIP,MDV,2015,4291226,,
ODAFLOW.VOLUMESCHOLARSHIP,MDV,2016,3136012,,
ODAFLOW.VOLUMESCHOLARSHIP,MDV,2017,1075922,,
ODAFLOW.VOLUMESCHOLARSHIP,MDV,2018,2246186,,
ODAFLOW.VOLUMESCHOLARSHIP,MDV,2019,2155626,,
ODAFLOW.VOLUMESCHOLARSHIP,MDV,2020,2208601,,
ODAFLOW.VOLUMESCHOLARSHIP,MDV,2021,869003,,
ODAFLOW.VOLUMESCHOLARSHIP,MDV,2022,1453190,,
ODAFLOW.VOLUMESCHOLARSHIP,MDV,2023,3414316,,
ODAFLOW.VOLUMESCHOLARSHIP,MEX,2006,15257757,,
ODAFLOW.VOLUMESCHOLARSHIP,MEX,2007,11880618,,
ODAFLOW.VOLUMESCHOLARSHIP,MEX,2008,20185088,,
ODAFLOW.VOLUMESCHOLARSHIP,MEX,2009,11987916,,
ODAFLOW.VOLUMESCHOLARSHIP,MEX,2010,5854713,,
ODAFLOW.VOLUMESCHOLARSHIP,MEX,2011,6437198,,
ODAFLOW.VOLUMESCHOLARSHIP,MEX,2012,9945224,,
ODAFLOW.VOLUMESCHOLARSHIP,MEX,2013,9758413,,
ODAFLOW.VOLUMESCHOLARSHIP,MEX,2014,8514566,,
ODAFLOW.VOLUMESCHOLARSHIP,MEX,2015,9229317,,
ODAFLOW.VOLUMESCHOLARSHIP,MEX,2016,4789345,,
ODAFLOW.VOLUMESCHOLARSHIP,MEX,2017,8830214,,
ODAFLOW.VOLUMESCHOLARSHIP,MEX,2018,9326384,,
ODAFLOW.VOLUMESCHOLARSHIP,MEX,2019,10603174,,
ODAFLOW.VOLUMESCHOLARSHIP,MEX,2020,8973723,,
ODAFLOW.VOLUMESCHOLARSHIP,MEX,2021,7299567,,
ODAFLOW.VOLUMESCHOLARSHIP,MEX,2022,10275988,,
ODAFLOW.VOLUMESCHOLARSHIP,MEX,2023,6975477,,
ODAFLOW.VOLUMESCHOLARSHIP,MHL,2006,321867,,
ODAFLOW.VOLUMESCHOLARSHIP,MHL,2007,83189,,
ODAFLOW.VOLUMESCHOLARSHIP,MHL,2008,195567,,
ODAFLOW.VOLUMESCHOLARSHIP,MHL,2009,322167,,
ODAFLOW.VOLUMESCHOLARSHIP,MHL,2010,247341,,
ODAFLOW.VOLUMESCHOLARSHIP,MHL,2011,295928,,
ODAFLOW.VOLUMESCHOLARSHIP,MHL,2012,264541,,
ODAFLOW.VOLUMESCHOLARSHIP,MHL,2013,218306,,
ODAFLOW.VOLUMESCHOLARSHIP,MHL,2014,191394,,
ODAFLOW.VOLUMESCHOLARSHIP,MHL,2015,107520,,
ODAFLOW.VOLUMESCHOLARSHIP,MHL,2016,72044,,
ODAFLOW.VOLUMESCHOLARSHIP,MHL,2017,7618560,,
ODAFLOW.VOLUMESCHOLARSHIP,MHL,2018,106037,,
ODAFLOW.VOLUMESCHOLARSHIP,MHL,2019,35453,,
ODAFLOW.VOLUMESCHOLARSHIP,MHL,2020,95498,,
ODAFLOW.VOLUMESCHOLARSHIP,MHL,2021,54934,,
ODAFLOW.VOLUMESCHOLARSHIP,MHL,2022,67941,,
